fw_ID,model,richness,links,connectance,distance,basal,top,intermediate,diameter,herbivory,omnivory,predpreyRatio,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,centrality,loops,intervals,MaxSim,Clust,trophicCoherence,trophicVar
adbm_100_10,ADBM,3,2,0.2222222222222222,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8660254037844388,0.8660254037844388,2.0,2.0,0.0,0.0,1.3333333333333333,0.8660254037844388,0.1111111111111111,0.0,0.0,0.0,1.25,0.0,0,0.0,0.0,0.0,1.0
adbm_100_20,ADBM,2,1,0.25,2.0,0.5,0.5,0.0,1,0.5,0.0,1.0,0.5,1.4142135623730951,1.4142135623730951,1.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.5
adbm_100_40,ADBM,4,2,0.125,2.0,0.5,0.5,0.0,1,0.5,0.0,1.0,0.5,1.1547005383792515,1.1547005383792515,1.5,1.0,0.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.3333333333333333
adbm_10_10,ADBM,3,2,0.2222222222222222,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,0.3333333333333333,0.0,1.0,0.6666666666666666,0.8660254037844388,0.8660254037844388,2.0,2.0,0.0,0.0,1.3333333333333333,0.8660254037844388,0.1111111111111111,0.0,0.0,0.0,1.25,0.0,0,0.0,0.0,0.0,1.0
adbm_10_20,ADBM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adbm_10_40,ADBM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adbm_11_10,ADBM,4,6,0.375,2.0,0.25,0.25,0.5,1,0.25,0.5,1.0,1.5,0.8606629658238704,0.8606629658238704,2.083333333333333,2.0,0.816496580927726,1.3862943611198906,1.0,0.0,0.0,0.25,0.0,0.0,1.1818181818181817,0.0,0,0.5,1.0,0.5270462766947299,0.6388888888888887
adbm_11_20,ADBM,3,2,0.2222222222222222,2.0,0.6666666666666666,0.3333333333333333,0.0,1,0.3333333333333333,0.0,2.0,0.6666666666666666,1.7320508075688776,0.8660254037844388,1.3333333333333333,1.0,0.0,0.6931471805599453,1.0,0.8660254037844386,0.0,0.0,0.0,0.1111111111111111,2.0,0.0,0,0.6666666666666666,0.0,0.0,0.3333333333333333
adbm_11_40,ADBM,10,7,0.07,2.0,0.3,0.3,0.4,4,0.3,0.0,1.0,0.7,0.6900655593423543,0.6900655593423543,2.4,2.3333333333333335,1.5275252316519465,1.0986122886681098,1.3,0.7377111135633174,0.04,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,1.8222222222222224
adbm_12_10,ADBM,3,3,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.8333333333333333,1.5,0.7071067811865476,0.6931471805599453,1.0,0.0,0.0,0.1111111111111111,0.0,0.0,1.0,0.0,0,0.3333333333333333,1.0,0.408248290463863,0.5833333333333333
adbm_12_20,ADBM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adbm_12_40,ADBM,8,4,0.0625,2.0,0.5,0.5,0.0,1,0.5,0.0,1.0,0.5,1.0690449676496976,1.0690449676496976,1.5,1.0,0.0,1.3862943611198906,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.2857142857142857
