fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_38_20,ADBM,,,,,,
adbm_38_40,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_39_10,ADBM,5,0.16,4.0,0,0,0
adbm_39_20,ADBM,4,0.1875,3.0,0,0,0
adbm_39_40,ADBM,10,0.07,4.0,0,0,0
adbm_3_10,ADBM,,,,,,
adbm_3_20,ADBM,5,0.16,2.5,0,0,0
adbm_3_40,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_40_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_40_20,ADBM,4,0.25,3.0,0,0,0
adbm_40_40,ADBM,7,0.10204081632653061,3.0,0,0,0
adbm_41_10,ADBM,5,0.32,2.8333333333333335,0,0,0
adbm_41_20,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_41_40,ADBM,,,,,,
adbm_42_10,ADBM,,,,,,
adbm_42_20,ADBM,9,0.19753086419753085,3.2777777777777777,0,0,0
adbm_42_40,ADBM,15,0.05333333333333334,5.0,0,0,0
adbm_43_10,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_43_20,ADBM,10,0.14,3.8333333333333335,0,0,0
adbm_43_40,ADBM,11,0.05785123966942149,3.0,0,0,0
adbm_44_10,ADBM,2,0.25,2.0,0,0,0
adbm_44_20,ADBM,7,0.10204081632653061,2.5,0,0,0
adbm_44_40,ADBM,6,0.1111111111111111,3.0,0,0,0
adbm_45_10,ADBM,2,0.25,2.0,0,0,0
adbm_45_20,ADBM,8,0.15625,4.0,0,0,0
adbm_45_40,ADBM,12,0.0625,5.0,0,0,0
adbm_46_10,ADBM,5,0.24,2.25,0,0,0
adbm_46_20,ADBM,5,0.16,4.0,0,0,0
adbm_46_40,ADBM,10,0.07,3.0,0,0,0
adbm_47_10,ADBM,2,0.25,2.0,0,0,0
adbm_47_20,ADBM,3,0.2222222222222222,3.0,0,0,0
adbm_47_40,ADBM,17,0.0657439446366782,4.0,0,0,0
adbm_48_10,ADBM,4,0.125,2.0,0,0,0
adbm_48_20,ADBM,13,0.15976331360946747,3.3333333333333335,0,0,0
adbm_48_40,ADBM,9,0.09876543209876543,4.0,0,0,0
