fw_ID,model,richness,links,connectance,distance,basal,top,intermediate,diameter,herbivory,omnivory,predpreyRatio,l_S,GenSD,VulSD,TL,ChLen,ChSD,ChNum,path,LinkSD,S1,S2,S4,S5,centrality,loops,intervals,MaxSim,Clust,trophicCoherence,trophicVar
ltm_1_10,LTM,10,6,0.06,1.0,0.6,0.7,-0.3,2,0.1,0.2,0.75,0.6,1.405456737852613,1.7916128329552332,1.8,2.5,0.5773502691896257,1.3862943611198906,1.1428571428571428,2.459549291242073,0.03,0.02,0.02,0.0,2.6363636363636367,0.0,0,0.27999999999999997,0.7499999999999999,0.408248290463863,1.2333333333333334
atn_1_10,ATN,10,9,0.09,1.0,0.4,0.4,0.2,3,0.2,0.2,1.0,0.9,0.9728833730787924,1.1049210289019482,2.25,3.0,1.224744871391589,1.6094379124341003,1.0,1.5537908861780023,0.07,0.02,0.02,0.01,1.2222222222222223,0.0,0,0.27999999999999997,0.3333333333333333,0.3333333333333333,1.6805555555555556
adbm_1_10,ADBM,10,16,0.16,2.0,0.4,0.4,0.2,1,0.2,0.4,1.0,1.6,1.1486707293408518,1.148670729340852,1.9700000000000002,2.8823529411764706,1.1114378604524227,2.833213344056216,1.0,1.467234738471584,0.0,0.2,0.0,0.0,2.0456852791878175,0.0,0,0.39999999999999997,1.0,0.6274950199005567,0.8617777777777778
niche_1_10,Niche,10,15,0.15,3.0,0.4,0.2,0.4,2,0.1,0.4,1.3333333333333333,1.5,1.0540925533894598,0.7200822998230957,2.028125,2.9473684210526314,0.7050361858740393,2.9444389791664403,1.3181818181818181,1.2171612389003692,0.16,0.05,0.04,0.1,1.9508196721311475,0.0,0,0.5261904761904762,0.544973544973545,0.41426390541939967,1.00009765625
cascade_1_10,Cascade,10,21,0.21,2.0,0.2,0.2,0.6,3,0.2,0.6,1.0,2.1,0.7920619015793428,0.8232573003104723,2.2666666666666666,2.736842105263158,0.9911892555667041,2.9444389791664403,1.0869565217391304,0.5406154401881397,0.13,0.11,0.14,0.13,1.5974025974025976,0.0,3,0.3888095238095238,0.3966666666666667,0.6160216370067166,0.6027434842249657
random_1_10,Random,10,24,0.24,1.0,0.0,0.0,1.0,5,0.0,0.6,1.0,2.4,0.6860605019571372,0.48907824615719475,5.907663040609534e16,NaN,NaN,0.0,1.3888888888888888,0.7296625298090943,0.1,0.03,0.05,0.09,1.1444983405667604,1.0,2,0.3007936507936508,0.4766666666666667,5.802298395176403,156.44444444444446
maxent_1_10,MaxEnt,10,17,0.17,1.0,0.0,0.1,0.9,8,0.0,0.4,0.9,1.7,0.623147003218459,0.6820598874872975,6.661338147750939e-17,NaN,NaN,0.0,1.6857142857142857,0.8410827682167535,0.14,0.04,0.08,0.07,1.4478267691824884,0.9,1,0.25547619047619047,0.5296296296296296,1.0740467607126287,0.42339368690914836
ltm_2_10,LTM,10,19,0.19,1.0,0.2,0.1,0.7,2,0.2,0.6,1.125,1.9,0.7212212207401569,0.7627040392731285,2.528125,1.5,0.7071067811865476,0.6931471805599453,1.1363636363636365,0.8153649149910351,0.11,0.09,0.08,0.03,1.4827586206896552,0.3,0,0.5,0.437037037037037,0.685195166310791,1.1786518614969135
atn_2_10,ATN,10,9,0.09,2.0,0.5,0.3,0.2,2,0.3,0.2,1.4,0.9,1.4296488196754653,0.9728833730787924,1.625,2.0,0.8944271909999159,1.791759469228055,1.3076923076923077,1.5537908861780023,0.04,0.02,0.01,0.05,1.9850746268656718,0.0,0,0.32333333333333336,0.5733333333333334,0.485912657903775,0.4895833333333333
adbm_2_10,ADBM,10,27,0.27,3.0,0.2,0.2,0.6,2,0.3,0.4,1.0,2.7,1.062732800822585,0.6060709979572136,2.3785714285714286,2.875,1.0080322575483707,3.4657359027997265,1.1290322580645162,0.609831557295233,0.11,0.25,0.1,0.35,1.5560401663454713,0.0,0,0.7504761904761905,0.5323809523809524,0.6725927091345492,0.817517006802721
niche_2_10,Niche,10,21,0.21,2.0,0.2,0.4,0.4,2,0.2,0.5,0.75,2.1,0.7920619015793428,1.132448189316633,2.3475,2.3333333333333335,0.6859943405700354,2.8903717578961645,1.0454545454545454,0.8635854291260598,0.08,0.13,0.24,0.11,1.5862068965517242,0.0,0,0.5728571428571428,0.49259259259259264,0.46568774878139035,0.7242291666666666
cascade_2_10,Cascade,10,30,0.3,2.0,0.2,0.1,0.7,3,0.1,0.7,1.125,3.0,0.7535922203472519,0.6478835438717,2.5259642857142857,4.1625,1.2267457207144188,4.382026634673881,1.1428571428571428,0.49690399499995325,0.25,0.35,0.12,0.18,1.3560209424083767,0.0,6,0.4924603174603175,0.6821428571428572,0.6837132260752341,0.8778980456349207
random_2_10,Random,10,28,0.28,1.0,0.0,0.0,1.0,4,0.0,0.8,1.0,2.8,0.5270462766947299,0.3688555567816587,3.9076186226002e16,NaN,NaN,0.0,1.4489795918367347,0.6344244092606776,0.25,0.06,0.04,0.12,2.7494420473143872,1.0,9,0.3587012987012987,0.43952380952380954,8.23754471047914,85.33333333333333
maxent_2_10,MaxEnt,10,18,0.18,2.0,0.2,0.3,0.5,3,0.1,0.5,0.875,1.8,0.7768954430890012,0.899626503814157,3.140804597701149,3.638888888888889,1.1988751341576764,3.58351893845611,1.4838709677419355,1.3405156348780636,0.12,0.03,0.05,0.03,2.3114992721979624,0.3,2,0.3507936507936508,0.373015873015873,0.8705015413292748,2.009595058792443
ltm_3_10,LTM,10,9,0.09,1.0,0.4,0.6,0.0,2,0.2,0.3,0.6666666666666666,0.9,0.9728833730787924,1.4296488196754653,0.8000000000000002,1.0,0.0,0.6931471805599453,1.1818181818181819,1.9457667461575847,0.0,0.0,0.02,0.0,1.7906976744186045,0.3,0,0.4019047619047619,0.6666666666666666,0.7290473969608956,0.6967366891267013
atn_3_10,ATN,10,6,0.06,2.0,0.6,0.5,-0.1,2,0.3,0.1,1.25,0.6,1.405456737852613,1.1653431646335017,1.45,1.2,0.4472135954999579,1.6094379124341003,1.0,1.3146843962443593,0.01,0.0,0.01,0.02,2.333333333333333,0.0,0,0.36666666666666664,0.0,0.28867513459481287,0.35833333333333334
adbm_3_10,ADBM,10,13,0.13,2.0,0.4,0.3,0.3,2,0.3,0.2,1.1666666666666667,1.3,1.3592162339178024,0.8919244682526197,1.8699999999999999,2.0,1.0540925533894598,2.302585092994046,1.0714285714285714,1.266573234382407,0.01,0.08,0.0,0.08,1.643171806167401,0.0,0,0.3833333333333333,0.8388888888888889,0.6961432213383857,0.6995555555555555
niche_3_10,Niche,10,6,0.06,2.0,0.7,0.5,-0.2,1,0.3,0.0,1.6666666666666667,0.6,1.7916128329552337,1.1653431646335017,1.3,1.0,0.0,1.791759469228055,1.0,1.5315609724544692,0.0,0.0,0.01,0.04,4.454545454545454,0.0,0,0.5166666666666666,0.0,1.5700924586837752e-16,0.23333333333333328
cascade_3_10,Cascade,10,10,0.1,3.0,0.2,0.4,0.4,2,0.4,0.0,0.75,1.0,0.816496580927726,1.0540925533894598,2.2,2.0,0.0,1.791759469228055,1.1666666666666667,0.9428090415820632,0.06,0.0,0.05,0.03,0.5306122448979591,0.0,0,0.4,0.0,2.432376777795247e-16,0.6222222222222221
random_3_10,Random,10,9,0.09,1.0,0.4,0.5,0.1,3,0.1,0.2,0.8333333333333334,0.9,0.9728833730787925,1.222783260682902,2.2,2.5,1.0488088481701516,1.791759469228055,1.1818181818181819,1.4628457524541851,0.06,0.01,0.04,0.02,1.5,0.0,1,0.20666666666666664,0.25,0.6666666666666666,1.288888888888889
maxent_3_10,MaxEnt,10,6,0.06,2.0,0.7,0.5,-0.2,2,0.2,0.0,1.6666666666666667,0.6,2.1081851067789192,1.1653431646335017,1.4,1.2,0.44721359549995804,1.6094379124341003,1.0,2.048787657176197,0.01,0.0,0.01,0.06,3.4444444444444446,0.0,0,0.39,0.0,0.0,0.48888888888888904
ltm_4_10,LTM,10,5,0.05,2.0,0.6,0.6,-0.2,2,0.2,0.1,1.0,0.5,1.4142135623730951,1.4142135623730951,1.6,2.0,1.0,1.0986122886681098,1.0,2.1081851067789192,0.02,0.01,0.0,0.0,1.8571428571428568,0.0,0,0.09166666666666665,0.7777777777777777,0.31622776601683794,0.7666666666666669
atn_4_10,ATN,10,8,0.08,3.0,0.4,0.3,0.3,3,0.3,0.1,1.1666666666666667,0.8,0.9860132971832694,0.7905694150420948,1.95,2.0,1.0,1.6094379124341003,1.2727272727272727,0.8740073734751261,0.04,0.0,0.01,0.02,1.5316455696202533,0.0,0,0.35,0.0,0.25,1.0249999999999997
adbm_4_10,ADBM,10,19,0.19,2.0,0.3,0.1,0.6,4,0.1,0.3,1.2857142857142858,1.9,1.2268164025997959,0.7627040392731284,2.9714285714285715,3.6923076923076925,1.7504578155735615,2.5649493574615367,1.1818181818181819,1.0467672905386876,0.06,0.14,0.04,0.19,2.181818181818182,0.0,0,0.5533333333333333,0.5595238095238095,1.3239409159294762,2.510147392290249
niche_4_10,Niche,10,8,0.08,3.0,0.6,0.5,-0.1,2,0.2,0.2,1.25,0.8,1.5365907428821481,1.1486707293408518,1.5,1.5,0.5477225575051661,1.791759469228055,1.2,1.5811388300841895,0.02,0.01,0.02,0.05,3.038461538461538,0.0,0,0.24499999999999997,0.27777777777777773,0.408248290463863,0.4506172839506172
cascade_4_10,Cascade,10,6,0.06,2.0,0.6,0.7,-0.3,2,0.2,0.1,0.75,0.6,1.405456737852613,1.6101529717988263,1.55,1.6666666666666667,0.5163977794943222,1.791759469228055,1.0,2.194268628681278,0.03,0.01,0.02,0.01,2.333333333333333,0.0,0,0.21666666666666665,0.5416666666666667,0.28867513459481287,0.5805555555555556
random_4_10,Random,10,11,0.11,2.0,0.3,0.3,0.4,3,0.3,0.2,1.0,1.1,1.0004590314678288,1.0883809088526044,2.033333333333333,1.8571428571428572,0.8997354108424372,1.9459101490553132,1.411764705882353,1.0320840221773575,0.05,0.01,0.06,0.05,1.5416036308623295,0.0,0,0.31333333333333335,0.19047619047619047,0.5504818825631803,0.7024691358024691
maxent_4_10,MaxEnt,10,8,0.08,2.0,0.5,0.5,0.0,2,0.2,0.2,1.0,0.8,1.2909944487358056,1.2909944487358056,1.7,1.8,0.8366600265340756,1.6094379124341003,1.2,1.5811388300841895,0.03,0.01,0.03,0.03,2.296703296703297,0.0,0,0.15,0.16666666666666666,0.5,0.6222222222222222
ltm_5_10,LTM,10,18,0.18,2.0,0.4,0.3,0.3,3,0.0,0.5,1.1666666666666667,1.8,1.073435314532551,0.7314228762270926,4.6866666666666665,3.7,1.3018205875255098,2.995732273553991,1.3571428571428572,1.3405156348780636,0.07,0.05,0.03,0.12,1.356020942408377,0.5,0,0.5226190476190475,0.5875,2.8406224322266294,10.86943209876543
