fw_ID,model,richness_equilibrium,connectance_equilibrium,persistence,max_trophic_level,total_biomass,cv_total_biomass,shannon,evenness,resilience,reactivity
adbm_1,ADBM,8.0,0.156,0.5333333333333333,3.0,2.2419222870354796,0.0029755698606013263,1.3280646104024783,0.6386640758025962,-0.0007183220778481704,0.2817402774872464
adbm_10,ADBM,7.0,0.184,0.4666666666666667,3.0,1.8131823951469466,3.86138225762082e-5,1.2326303751252434,0.6334467065314666,-0.0017333591308194031,0.01934393538232074
adbm_100,ADBM,9.0,0.148,0.6,3.0,4.316129352997425,0.0016890687373221345,1.6702657712621642,0.7601707119474752,-0.0004955519578267824,0.0022780455748187597
adbm_11,ADBM,10.0,0.14,0.6666666666666666,3.0833333333333335,2.3615887034435175,0.0028762684478885396,1.332979753397669,0.5789057513893651,-0.0005363781984359161,0.034206608810880466
adbm_12,ADBM,4.0,0.25,0.26666666666666666,2.333333333333333,1.4448618209305923,2.798612309711178e-6,0.8220089888991418,0.5929541459254715,-0.0037063151386677907,0.00014970258863128115
adbm_13,ADBM,5.0,0.12,0.3333333333333333,3.0,1.1820981931064423,0.0015341370467939425,0.6450113181826916,0.4007680651732517,-0.0006834313986153412,0.013130965860947898
adbm_14,ADBM,2.0,0.25,0.13333333333333333,2.0,1.0029701382833949,0.00019928435263079212,0.025251865963841547,0.03643074179922701,-0.00047094479099929476,0.01271088883175978
adbm_15,ADBM,13.0,0.237,0.8666666666666667,3.0868055555555562,4.422630068035402,0.0009430666893985258,1.974483404743729,0.7697943037354248,-0.0006249656063163611,0.0010343655751951172
adbm_16,ADBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN
adbm_17,ADBM,5.0,0.24,0.3333333333333333,3.0,2.1840400391295183,1.0918913631814978e-6,1.0239967008760045,0.6362449231280507,-0.003074606955340977,0.002374926367980712
adbm_18,ADBM,7.0,0.143,0.4666666666666667,5.0,2.5148788393885786,0.00026804939489335794,1.4885890214263708,0.7649834305808213,-0.0011260282629147772,0.0840938712785466
adbm_19,ADBM,6.0,0.361,0.4,3.066666666666667,1.048978938410188,0.0052554825744680345,0.22924549388589308,0.12794434622670592,-0.0005870036609824133,-0.0005870034865082134
adbm_2,ADBM,9.0,0.21,0.6,4.083333333333334,2.129034238747068,0.00024198844382929797,1.4758901025693258,0.6717065327744534,-0.0010773058156452798,0.03932873507920033
adbm_20,ADBM,4.0,0.25,0.26666666666666666,3.5,1.48219934960424,0.00011910034662794802,1.0017133980316337,0.7225834758661351,-0.0008407514469094801,0.026745891882672995
adbm_21,ADBM,5.0,0.2,0.3333333333333333,2.5,0.8261999870861665,2.167851006465926e-6,1.1858830066053674,0.7368305403045017,-0.002078861043989236,0.017825788539674446
adbm_22,ADBM,10.0,0.11,0.6666666666666666,3.0,4.252770919004739,1.424022489956802e-5,1.63106190739858,0.7083611860257959,-0.0008229832556746398,0.16513829059019092
adbm_23,ADBM,2.0,0.25,0.13333333333333333,2.0,1.0000029148041596,2.2606002884928904e-6,4.0598213647981136e-5,5.857084149889302e-5,-0.0023964041053420263,-0.002395997343115667
adbm_24,ADBM,7.0,0.143,0.4666666666666667,3.0,2.626598027105921,0.08877218569271662,1.5097337687470984,0.7758496811787704,0.08714825054253554,0.4852795599548743
adbm_25,ADBM,7.0,0.204,0.4666666666666667,2.5833333333333335,2.7373426343854885,0.0019504966758060287,1.327328339080954,0.6821118332340966,-0.0005474990881468571,0.005155102741091953
adbm_26,ADBM,6.0,0.167,0.4,4.5,1.241626952897483,2.5652969559264175e-10,1.6566812405583016,0.9246114051636913,-0.008713049867638246,0.2542212214813576
adbm_27,ADBM,14.0,0.23,0.9333333333333333,4.385714285714286,2.6876408202680064,0.0011627274353790567,1.8823066287953087,0.7132496166992043,-5.332878023817748e-5,0.4595211614064244
adbm_28,ADBM,14.0,0.204,0.9333333333333333,4.833333333333334,3.5358803863001196,0.0015699175246048458,1.9946301486844262,0.7558116022342032,-0.00014006726715789014,0.010574270060735242
adbm_29,ADBM,9.0,0.333,0.6,3.566666666666667,2.8344420509944985,2.0038410766926037e-6,1.942793995588316,0.884203652019786,-0.0021658170171304798,0.015690926632613345
adbm_3,ADBM,6.0,0.194,0.4,2.333333333333333,2.7812533686894967,1.0760377608950725e-5,1.2668796596153395,0.707059000592948,-0.0018776365696007906,0.0007395405638732884
adbm_30,ADBM,11.0,0.165,0.7333333333333333,3.25,4.034503801229443,0.0011831581992218195,1.8184590518487225,0.7583563270995403,-0.0005695577135688798,0.010911420896286345
adbm_31,ADBM,3.0,0.333,0.2,2.5,1.406565498142472,4.7406320597187355e-16,0.9862634595012165,0.8977356886266964,-0.04577367109431907,0.045298844009878915
adbm_32,ADBM,11.0,0.223,0.7333333333333333,3.3095238095238093,3.70487246379676,6.65402074771759e-6,1.7309267108428048,0.7218525056028798,-0.0012241167507590716,0.03057253215121927
adbm_33,ADBM,11.0,0.149,0.7333333333333333,2.966666666666667,3.469926523121299,0.0008854188888825236,1.9934330108533462,0.8313261356602065,-0.0005784597693198692,0.0024448602211504357
adbm_34,ADBM,8.0,0.156,0.5333333333333333,3.0,3.3517807915057527,7.252763767146631e-5,1.4584292160065948,0.7013561991400977,-0.0012471738670570547,0.15527652989573856
adbm_35,ADBM,8.0,0.25,0.5333333333333333,3.283333333333333,2.1540779886233827,0.0007231596872662948,1.5254199640835457,0.7335719391521175,-0.0008117486986875963,0.0011170414862635828
