fw_ID,model,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
ltm_1,LTM,15,0.3377777777777778,0.0,1.7244444444444444,NaN,8040,0,0
ltm_laura_1,LTM_Laura,15,0.13333333333333333,0.2,1.1822222222222223,3.272727272727273,4,0,3
atn_1,ATN,15,0.1511111111111111,0.06666666666666667,1.2844444444444443,5.421052631578948,0,0,1
adbm_1,ADBM,15,0.13777777777777778,0.2,1.2355555555555555,3.2666666666666666,0,0,3
niche_1,Niche,15,0.2577777777777778,0.3333333333333333,1.4044444444444442,2.2439024390243905,0,0,
cascade_1,Cascade,15,0.21777777777777776,0.2,1.444444444444444,4.641221374045801,0,0,
random_1,Random,15,0.21777777777777776,0.06666666666666667,1.2177777777777774,NaN,942,0,
maxent_1,MaxEnt,15,0.14666666666666667,0.13333333333333333,1.28,4.194444444444445,7,0,
ltm_2,LTM,15,0.28,0.0,1.6133333333333335,NaN,2371,0,0
ltm_laura_2,LTM_Laura,15,0.12444444444444444,0.13333333333333333,1.2044444444444442,2.75,2,0,2
atn_2,ATN,15,0.12,0.13333333333333333,1.3111111111111111,5.109589041095891,0,0,2
adbm_2,ADBM,15,0.16444444444444445,0.3333333333333333,1.1688888888888889,5.012987012987013,0,3,4
niche_2,Niche,15,0.08888888888888889,0.5333333333333333,1.102222222222222,1.05,0,2,
cascade_2,Cascade,15,0.06666666666666667,0.4,1.0888888888888888,1.5384615384615385,0,2,
random_2,Random,15,0.08444444444444445,0.2,1.1377777777777778,3.7777777777777777,2,1,
maxent_2,MaxEnt,15,0.10666666666666667,0.3333333333333333,1.16,2.272727272727273,3,1,
ltm_3,LTM,15,0.25333333333333335,0.0,1.6577777777777776,NaN,157,0,0
ltm_laura_3,LTM_Laura,15,0.12,0.2,1.2044444444444442,3.4482758620689653,4,0,3
atn_3,ATN,15,0.12,0.13333333333333333,1.182222222222222,2.9411764705882355,0,0,2
adbm_3,ADBM,15,0.16,0.2,1.2222222222222219,3.8125,0,0,3
niche_3,Niche,15,0.2,0.2,1.413333333333333,3.9214285714285713,0,1,
cascade_3,Cascade,15,0.2577777777777778,0.2,1.4977777777777777,4.355704697986577,0,0,
random_3,Random,15,0.24444444444444444,0.0,1.4977777777777777,NaN,3251,0,
maxent_3,MaxEnt,15,0.18222222222222223,0.3333333333333333,1.3599999999999997,4.317073170731708,15,0,
