fw_ID,model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
adbm_1,ADBM,8,0.15625,0.9261600176561031,1.234375,0.931971796017148,1.1109841197270618,0.375,1.7142857142857142,2.0,0.7142857142857144,0.41666666666666663,0.22047927592204922
adbm_10,ADBM,7,0.1836734693877551,0.9373994714948702,1.3265306122448979,0.974996043043569,0.7398142353865992,0.2857142857142857,2.0,2.0,1.3333333333333335,0.0,0.3030457633656633
adbm_100,ADBM,9,0.14814814814814814,0.890411990536752,1.185185185185185,1.243734296383275,0.9185586535436918,0.3333333333333333,1.4545454545454546,2.0,1.9999999999999998,0.29629629629629634,0.18652712436989277
adbm_11,ADBM,10,0.14,0.9214115107702715,1.22,0.9035079029052512,0.9642122253007899,0.3,2.4,2.0,1.1052631578947367,0.5,0.2032699715124724
adbm_12,ADBM,4,0.25,0.8724293398564681,1.3125,1.4142135623730951,0.816496580927726,0.25,1.3333333333333333,2.0,2.0,0.5833333333333333,0.3535533905932738
adbm_13,ADBM,5,0.12,0.9999999999999998,1.16,0.9128709291752769,0.9128709291752769,0.4,1.5,2.0,0.6666666666666666,0.0,0.0
adbm_14,ADBM,2,0.25,NaN,1.25,1.4142135623730951,1.4142135623730951,0.5,1.0,2.0,1.0,0.0,NaN
adbm_15,ADBM,13,0.23668639053254437,0.8197835777902099,1.378698224852071,1.1137399457084523,0.8120832264409027,0.23076923076923078,3.085714285714286,2.0,2.366906474820144,0.6012210012210012,0.3499951231859991
adbm_17,ADBM,5,0.24,0.891671285555114,1.3199999999999998,1.3693063937629153,0.6972166887783964,0.2,1.75,2.0,1.222222222222222,0.6,0.36696957185394363
adbm_18,ADBM,7,0.14285714285714285,0.9689453867561505,1.163265306122449,1.0,0.5773502691896257,0.14285714285714285,3.3333333333333335,2.0,0.909090909090909,0.23809523809523808,0.19216934546701406
adbm_19,ADBM,6,0.3611111111111111,0.8713840145318985,1.583333333333333,0.8468528581244854,0.8468528581244854,0.16666666666666666,2.3333333333333335,2.0,1.0930232558139537,0.8222222222222223,0.4047439484633017
