fw_ID,model,richness_equilibrium,connectance_equilibrium,persistence,max_trophic_level,total_biomass,cv_total_biomass,shannon,evenness,resilience,reactivity
adbm_1,ADBM,8.0,0.156,0.5333333333333333,3.0,2.202386371186697,0.0016751776248705005,1.260454717407115,0.6061505900227816,-0.0007183218230817143,0.2817402774872463
adbm_10,ADBM,7.0,0.184,0.4666666666666667,3.0,1.8130385671140687,1.5528176245776018e-5,1.231885450724966,0.6330638911169733,-0.0017333591108937502,0.019343945151980218
adbm_100,ADBM,9.0,0.148,0.6,3.0,4.249151752822762,0.0007621613825358562,1.6132447743865228,0.7342193378986875,-0.0004955514963844223,0.002278045574818892
adbm_11,ADBM,10.0,0.14,0.6666666666666666,3.0833333333333335,2.310390413936485,0.0012182060189532286,1.2540062530534444,0.5446079959732837,-0.0005364046030091782,0.03419589070903005
adbm_12,ADBM,4.0,0.25,0.26666666666666666,2.333333333333333,1.4448617861402415,1.9743022589643796e-5,0.8220086296424767,0.5929538867765668,-0.003706315136801284,0.00014970255441612657
adbm_13,ADBM,5.0,0.12,0.3333333333333333,3.0,1.1672083191038658,0.0005615297663295717,0.5845462592473865,0.3631990117365408,-0.0006834313994345316,0.013130926010102423
adbm_14,ADBM,2.0,0.25,0.13333333333333333,2.0,1.0021825312485462,0.00031676008090481103,0.01944155080471943,0.028048228933159555,-0.0004400513179931842,0.012733339704574118
adbm_15,ADBM,13.0,0.237,0.8666666666666667,3.0868055555555562,4.409908466588668,0.0012550654291778875,1.960547687998303,0.7643611684944165,-0.0005735842501632867,0.0010071003904483353
adbm_16,ADBM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN
adbm_17,ADBM,3.0,0.222,0.2,3.0,1.1840380795770655,1.115458780828142e-9,0.6168077791497111,0.5614426358706501,-0.016754848396894582,0.0023749257530041915
adbm_18,ADBM,7.0,0.143,0.4666666666666667,5.0,2.5123056354722073,0.00011941288775315402,1.4825590093506085,0.7618846173706174,-0.0011260278558937761,0.0840938271738611
adbm_19,ADBM,4.0,0.312,0.26666666666666666,2.6666666666666665,1.0339172189133614,0.007936539156228627,0.15970838494810857,0.11520524747651091,-0.0005870229519321157,-0.0005870227955344038
adbm_2,ADBM,8.0,0.188,0.5333333333333333,3.8333333333333335,2.127894326791885,0.00033222520705024854,1.4724731938512687,0.7081099248703863,-0.0010773057954922543,0.03932877349056593
adbm_20,ADBM,4.0,0.25,0.26666666666666666,3.5,1.4828032586248314,0.00014643060214001297,1.0035543010373096,0.7239114066846583,-0.0009034606901970948,0.02663407371877644
