fw_ID,model,richness,connectance,complexity,max_trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
ltm_1,LTM,15,0.3377777777777778,0.8439785159814986,5.111918638511022,0.6608018476936294,0.32913528467083897,0.0,NaN,3.0,2.3673120315105716,0.49756613756613766,1.4932403408359287,15,0.3377777777777778,0.0,5.111918638511022,NaN,8040,0,0
ltm_laura_1,LTM_Laura,15,0.13333333333333333,0.9265494648683332,2.7470053075654266,0.9258200997725514,0.5669467095138409,0.2,3.272727272727273,2.0,2.4178760341787604,0.3603174603174603,1.0032263898319358,15,0.13333333333333333,0.2,2.7470053075654266,3.272727272727273,4,0,3
atn_1,ATN,15,0.1511111111111111,0.9185491582509624,4.105,0.9051672392947266,0.6968965878643438,0.06666666666666667,5.421052631578948,4.0,1.9698302954116909,0.38920634920634917,0.6552307019113747,15,0.1511111111111111,0.06666666666666667,4.105,5.421052631578948,0,0,1
adbm_1,ADBM,15,0.13777777777777778,0.8893375382555435,4.0,1.398410616420774,0.6711361008203105,0.2,3.2666666666666666,3.0,1.7030716723549486,0.4677248677248677,0.9150389588953557,15,0.13777777777777778,0.2,4.0,3.2666666666666666,0,0,3
niche_1,Niche,15,0.2577777777777778,0.817761476278032,2.9761904761904763,0.8844388258613559,0.9214752833411926,0.3333333333333333,2.2439024390243905,2.0,2.2112571631578137,0.4384126984126984,0.5456212878983489,15,0.2577777777777778,0.3333333333333333,2.9761904761904763,2.2439024390243905,0,0,
cascade_1,Cascade,15,0.21777777777777776,0.893665202941264,4.656696428571428,0.7268777629036698,0.7539980898739252,0.2,4.641221374045801,3.0,2.070674248578392,0.39777777777777773,0.7051366247607782,15,0.21777777777777776,0.2,4.656696428571428,4.641221374045801,0,0,
random_1,Random,15,0.21777777777777776,0.8950878627406551,1.5948018910860782e16,0.37432631221555573,0.7450676750628985,0.06666666666666667,NaN,1.0,4.310312785848377,0.45391534391534394,3.2727487458925864,15,0.21777777777777776,0.06666666666666667,1.5948018910860782e16,NaN,942,0,
maxent_1,MaxEnt,15,0.14666666666666667,0.918449914086839,8.290404040404042,1.1803187290910924,0.7527987920098408,0.13333333333333333,4.194444444444445,4.0,3.6484610044755152,0.22587301587301586,2.4008908105408233,15,0.14666666666666667,0.13333333333333333,8.290404040404042,4.194444444444445,7,0,
ltm_2,LTM,15,0.28,0.8785414520162083,7.09898385377804,0.4778881303315233,0.5185262312968573,0.0,NaN,3.0,2.1897013943707355,0.6653439153439151,1.903798554781511,15,0.28,0.0,7.09898385377804,NaN,2371,0,0
ltm_laura_2,LTM_Laura,15,0.12444444444444444,0.9462290966034939,3.299000294443431,0.7807122785044308,0.6975070142911989,0.13333333333333333,2.75,2.0,2.3650577838205304,0.407936507936508,0.8263491050388583,15,0.12444444444444444,0.13333333333333333,3.299000294443431,2.75,2,0,2
