model,n,mean,sd
ADBM,258,5.982577408204747,2.310554800323781
ATN,283,3.139382855525118,1.9562438751823672
Cascade,300,5.817852213656723,3.7525399407673516
LTM,233,5.670400179310355,2.681254977597859
MaxEnt,242,4.18444104183235,4.802385990718038
Niche,300,5.319250642218687,3.4803453372928925
Random,85,2.601728808687914,2.5502816247088527
