model,PC1_Pre,PC1_Post,PC2_Pre,PC2_Post,PC3_Pre,PC3_Post,PC4_Pre,PC4_Post,PC5_Pre,PC5_Post,dPC1,dPC2,dPC3,dPC4,dPC5,trajectory_length,angle_deg
ADBM,1.615519372336691,-3.0117913305388035,0.574346236408599,0.4811048951295775,1.2653768873164217,-1.0706808487776658,0.6327954924236674,-0.024983642824988838,-0.14402207399211456,0.0665993604752236,-4.627310702875494,-0.09324134127902156,-2.3360577360940873,-0.6577791352486563,0.21062143446733816,5.230191087757712,-178.84563350109474
ATN,2.113368955104932,0.24731680282074242,-0.9356911023107986,0.5406192332851518,0.4070631763417164,0.21778271095645899,0.28350994541583746,0.8524109065936243,0.13141060112224232,0.0033122442988803135,-1.8660521522841895,1.4763103355959504,-0.18928046538525742,0.5689009611777869,-0.12809835682336201,2.4571380566134655,141.65103459220293
Cascade,2.9133078001685235,-2.1290317773817593,0.861289825567018,0.5186908986414165,-0.923606458579066,-0.7407315723407925,-0.41098007347537446,0.3484964229040071,0.15639525068748997,0.02401176058656413,-5.042339577550283,-0.34259892692560157,0.18287488623827353,0.7594764963793816,-0.13238349010092584,5.1156950261993925,-176.1130444445721
LTM,1.2439337840457496,-3.103867686094417,-1.3371518416616561,0.18748547941783864,0.7123080588306149,1.817774136097704,-0.3223666544939231,0.10159894800698047,-0.20813582031763217,-0.06194404034808456,-4.347801470140166,1.5246373210794948,1.105466077267089,0.42396560250090354,0.1461917799695476,4.75931409986821,160.67583510802228
MaxEnt,1.259725085591151,-1.1932528239941869,-2.2268639702647786,-0.4714570429600998,-0.3881554506917372,-0.689890074764089,-1.0238591174755267,-0.4606626211867168,0.12274575519314318,-0.17968637384685957,-2.452977909585338,1.7554069273046786,-0.30173462407235185,0.5631964962888099,-0.3024321290400027,3.0981048037170487,144.4116263436883
Niche,1.7899157998696424,-2.212650616111481,1.0983240785124018,0.8577949536542406,0.9734593309353939,-0.06663744224082464,-0.39824886544216503,0.022168995683451737,-0.044208391395477,-0.03389176827632335,-4.002566415981123,-0.24052912485816114,-1.0400967731762185,0.42041786112561674,0.01031662311915365,4.163778462224258,-176.5610188925356
Random,0.6999673029492621,-0.9389059372288424,-2.5170138614430018,-1.134146381052803,-1.4999790652049356,-1.7655054885506198,0.5301163497193447,0.06963118820084789,0.11576630029409817,0.09168480409668088,-1.6388732401781045,1.3828674803901988,-0.2655264233456842,-0.46048516151849683,-0.024081496197417285,2.209379720560771,139.84260795969072
