fw_ID,model,dist_model,outcome,failed
maxent_17_10,MaxEnt,4.207503696697196,Equilibrium,FALSE
ltm_18_10,LTM,2.522709324641351,Equilibrium,FALSE
atn_18_10,ATN,2.5690371587606666,Equilibrium,FALSE
adbm_18_10,ADBM,3.2299338771805184,Equilibrium,FALSE
niche_18_10,Niche,7.2261362945770795,Equilibrium,FALSE
cascade_18_10,Cascade,3.340824150926845,Equilibrium,FALSE
maxent_18_10,MaxEnt,3.0853556267107876,Equilibrium,FALSE
ltm_19_10,LTM,2.513688468796591,Equilibrium,FALSE
atn_19_10,ATN,3.203351436967166,Equilibrium,FALSE
adbm_19_10,ADBM,2.957156180013293,Equilibrium,FALSE
niche_19_10,Niche,5.22156714536381,Equilibrium,FALSE
cascade_19_10,Cascade,3.5251407377782322,Equilibrium,FALSE
maxent_19_10,MaxEnt,2.7339822737792128,Equilibrium,FALSE
ltm_20_10,LTM,3.068728287579979,Equilibrium,FALSE
atn_20_10,ATN,5.801655598555422,Equilibrium,FALSE
adbm_20_10,ADBM,4.248893671642146,Equilibrium,FALSE
niche_20_10,Niche,3.758291057045266,Equilibrium,FALSE
cascade_20_10,Cascade,3.4682717484130285,Equilibrium,FALSE
atn_21_10,ATN,3.98837622090587,Equilibrium,FALSE
adbm_21_10,ADBM,2.8828125125669932,Equilibrium,FALSE
niche_21_10,Niche,2.484474666312644,Equilibrium,FALSE
cascade_21_10,Cascade,3.1101003587876317,Equilibrium,FALSE
maxent_21_10,MaxEnt,3.1193854424442278,Equilibrium,FALSE
ltm_22_10,LTM,3.058881333760141,Equilibrium,FALSE
atn_22_10,ATN,3.8626100654306077,Equilibrium,FALSE
adbm_22_10,ADBM,2.77230706474587,Equilibrium,FALSE
niche_22_10,Niche,3.6712809676854654,Equilibrium,FALSE
cascade_22_10,Cascade,3.6217616389826524,Equilibrium,FALSE
random_22_10,Random,2.998396428165931,Equilibrium,FALSE
maxent_22_10,MaxEnt,3.921592374086056,Equilibrium,FALSE
atn_23_10,ATN,4.027815068088814,Equilibrium,FALSE
adbm_23_10,ADBM,2.7808971783794534,Equilibrium,FALSE
niche_23_10,Niche,5.619829685811088,Equilibrium,FALSE
cascade_23_10,Cascade,10.243210936896121,Equilibrium,FALSE
random_23_10,Random,3.5958491171948035,Equilibrium,FALSE
maxent_23_10,MaxEnt,7.174430496837529,Equilibrium,FALSE
ltm_24_10,LTM,5.045853827289495,Equilibrium,FALSE
atn_24_10,ATN,3.2928182064687612,Equilibrium,FALSE
adbm_24_10,ADBM,3.537188076684456,Equilibrium,FALSE
niche_24_10,Niche,3.6500317026368037,Equilibrium,FALSE
cascade_24_10,Cascade,4.160623471436962,Equilibrium,FALSE
maxent_24_10,MaxEnt,2.8414889183733245,Equilibrium,FALSE
atn_25_10,ATN,3.192037143895407,Equilibrium,FALSE
adbm_25_10,ADBM,2.418297837759305,Equilibrium,FALSE
niche_25_10,Niche,3.5489572961377798,Equilibrium,FALSE
cascade_25_10,Cascade,5.504882276666305,Equilibrium,FALSE
random_25_10,Random,2.6749175276972275,Equilibrium,FALSE
maxent_25_10,MaxEnt,2.802952012558283,Equilibrium,FALSE
ltm_26_10,LTM,3.9809602426758475,Equilibrium,FALSE
adbm_26_10,ADBM,2.7277143965933828,Equilibrium,FALSE
niche_26_10,Niche,7.983052507634582,Equilibrium,FALSE
cascade_26_10,Cascade,6.358135437134279,Equilibrium,FALSE
random_26_10,Random,3.7571901243499197,Equilibrium,FALSE
maxent_26_10,MaxEnt,6.8135236897258284,Equilibrium,FALSE
atn_27_10,ATN,3.8360087183840488,Equilibrium,FALSE
niche_27_10,Niche,10.031612568341675,Equilibrium,FALSE
cascade_27_10,Cascade,4.436004013497189,Equilibrium,FALSE
random_27_10,Random,5.677750539195442,Equilibrium,FALSE
maxent_27_10,MaxEnt,7.204335155817821,Equilibrium,FALSE
ltm_28_10,LTM,8.304887220468727,Equilibrium,FALSE
atn_28_10,ATN,2.8706681341079716,Equilibrium,FALSE
adbm_28_10,ADBM,4.87703149475721,Equilibrium,FALSE
niche_28_10,Niche,3.246420083250415,Equilibrium,FALSE
cascade_28_10,Cascade,3.5276302043551686,Equilibrium,FALSE
maxent_28_10,MaxEnt,3.037696851656645,Equilibrium,FALSE
atn_29_10,ATN,4.211675511408374,Equilibrium,FALSE
adbm_29_10,ADBM,2.861262480259835,Equilibrium,FALSE
niche_29_10,Niche,5.036561091793633,Equilibrium,FALSE
cascade_29_10,Cascade,3.1559356630373796,Equilibrium,FALSE
random_29_10,Random,3.071894850264564,Equilibrium,FALSE
ltm_30_10,LTM,3.1955929754114294,Equilibrium,FALSE
atn_30_10,ATN,5.35405625732185,Equilibrium,FALSE
adbm_30_10,ADBM,3.1071497721123467,Equilibrium,FALSE
niche_30_10,Niche,2.7914400347430424,Equilibrium,FALSE
cascade_30_10,Cascade,3.4054884320569174,Equilibrium,FALSE
maxent_30_10,MaxEnt,2.9301581216288124,Equilibrium,FALSE
ltm_31_10,LTM,4.214761279705695,Equilibrium,FALSE
adbm_31_10,ADBM,3.5517007182070666,Equilibrium,FALSE
niche_31_10,Niche,3.2926896172630915,Equilibrium,FALSE
cascade_31_10,Cascade,3.5442632852736926,Equilibrium,FALSE
maxent_31_10,MaxEnt,4.408694185444915,Equilibrium,FALSE
ltm_32_10,LTM,6.718248039040983,Equilibrium,FALSE
atn_32_10,ATN,2.8407928842330437,Equilibrium,FALSE
adbm_32_10,ADBM,2.7932342215015913,Equilibrium,FALSE
niche_32_10,Niche,8.676426478879959,Equilibrium,FALSE
cascade_32_10,Cascade,4.290755692669522,Equilibrium,FALSE
maxent_32_10,MaxEnt,5.040995968217713,Equilibrium,FALSE
ltm_33_10,LTM,2.843166106722489,Equilibrium,FALSE
atn_33_10,ATN,3.1430832109762132,Equilibrium,FALSE
adbm_33_10,ADBM,2.5441476692375216,Equilibrium,FALSE
niche_33_10,Niche,2.8784609104078642,Equilibrium,FALSE
cascade_33_10,Cascade,4.0245280604153795,Equilibrium,FALSE
atn_34_10,ATN,4.196007162240544,Equilibrium,FALSE
adbm_34_10,ADBM,1.9966254696151389,Equilibrium,FALSE
niche_34_10,Niche,3.2691984669543324,Equilibrium,FALSE
cascade_34_10,Cascade,3.8824414926660866,Equilibrium,FALSE
random_34_10,Random,4.074739180312686,Equilibrium,FALSE
atn_35_10,ATN,3.8026562209145154,Equilibrium,FALSE
adbm_35_10,ADBM,3.276873920203924,Equilibrium,FALSE
niche_35_10,Niche,2.7330062404278377,Equilibrium,FALSE
cascade_35_10,Cascade,4.304102571106923,Equilibrium,FALSE
random_35_10,Random,1.2874337438379313,Equilibrium,FALSE
maxent_35_10,MaxEnt,3.2886235576668588,Equilibrium,FALSE
ltm_36_10,LTM,7.586174575002251,Equilibrium,FALSE
atn_36_10,ATN,2.8334904202156364,Equilibrium,FALSE
adbm_36_10,ADBM,1.7936984406791747,Equilibrium,FALSE
niche_36_10,Niche,3.525764951430701,Equilibrium,FALSE
cascade_36_10,Cascade,2.984941186054711,Equilibrium,FALSE
maxent_36_10,MaxEnt,2.5525695118695038,Equilibrium,FALSE
ltm_37_10,LTM,3.077193335070418,Equilibrium,FALSE
atn_37_10,ATN,5.456355882475477,Equilibrium,FALSE
adbm_37_10,ADBM,6.370641764028882,Equilibrium,FALSE
niche_37_10,Niche,12.861610445655655,Equilibrium,FALSE
cascade_37_10,Cascade,8.258249553275643,Equilibrium,FALSE
random_37_10,Random,3.938097356374279,Equilibrium,FALSE
maxent_37_10,MaxEnt,9.153930483044016,Equilibrium,FALSE
niche_38_10,Niche,3.523697674065166,Equilibrium,FALSE
cascade_38_10,Cascade,6.374300993438151,Equilibrium,FALSE
random_38_10,Random,1.9265056810237986,Equilibrium,FALSE
maxent_38_10,MaxEnt,3.2934807170312843,Equilibrium,FALSE
atn_39_10,ATN,4.45810705412143,Equilibrium,FALSE
adbm_39_10,ADBM,2.792412698510435,Equilibrium,FALSE
niche_39_10,Niche,3.598551436183551,Equilibrium,FALSE
cascade_39_10,Cascade,3.6615874883450843,Equilibrium,FALSE
maxent_39_10,MaxEnt,3.55796756258046,Equilibrium,FALSE
ltm_40_10,LTM,2.905343931320418,Equilibrium,FALSE
atn_40_10,ATN,2.469390868810267,Equilibrium,FALSE
adbm_40_10,ADBM,3.1244136483078444,Equilibrium,FALSE
niche_40_10,Niche,3.432077349600932,Equilibrium,FALSE
cascade_40_10,Cascade,3.0690415530430717,Equilibrium,FALSE
ltm_41_10,LTM,8.898645132783656,Equilibrium,FALSE
atn_41_10,ATN,5.514786665845395,Equilibrium,FALSE
adbm_41_10,ADBM,2.626378276470704,Equilibrium,FALSE
niche_41_10,Niche,2.7335447052759743,Equilibrium,FALSE
cascade_41_10,Cascade,3.1815072560934556,Equilibrium,FALSE
niche_42_10,Niche,3.5986895691532785,Equilibrium,FALSE
cascade_42_10,Cascade,3.5566338323379907,Equilibrium,FALSE
random_42_10,Random,1.8196208611145641,Equilibrium,FALSE
maxent_42_10,MaxEnt,3.7173691366090367,Equilibrium,FALSE
atn_43_10,ATN,2.980593673125227,Equilibrium,FALSE
adbm_43_10,ADBM,3.592824487427885,Equilibrium,FALSE
niche_43_10,Niche,3.40013007439498,Equilibrium,FALSE
cascade_43_10,Cascade,3.0774868202768473,Equilibrium,FALSE
maxent_43_10,MaxEnt,3.812692142412718,Equilibrium,FALSE
ltm_44_10,LTM,9.094434604661574,Equilibrium,FALSE
atn_44_10,ATN,4.41111375582162,Equilibrium,FALSE
adbm_44_10,ADBM,3.4134749564424833,Equilibrium,FALSE
niche_44_10,Niche,3.425820797317942,Equilibrium,FALSE
cascade_44_10,Cascade,3.1621137864504854,Equilibrium,FALSE
maxent_44_10,MaxEnt,5.12198875308022,Equilibrium,FALSE
atn_45_10,ATN,3.203872166216372,Equilibrium,FALSE
adbm_45_10,ADBM,5.02076669299703,Equilibrium,FALSE
niche_45_10,Niche,5.148044833122734,Equilibrium,FALSE
cascade_45_10,Cascade,2.952655024612416,Equilibrium,FALSE
maxent_45_10,MaxEnt,2.943605514644821,Equilibrium,FALSE
atn_46_10,ATN,4.449586015959632,Equilibrium,FALSE
adbm_46_10,ADBM,3.045463627102215,Equilibrium,FALSE
niche_46_10,Niche,3.0317080320129115,Equilibrium,FALSE
cascade_46_10,Cascade,4.52725975607101,Equilibrium,FALSE
random_46_10,Random,1.6026027159564757,Equilibrium,FALSE
