model,mean_pre,sd_pre,mean_post,sd_post,mean_convergence,sd_convergence
ADBM,4.377049389658345,1.882246130454385,2.9079058540940483,1.0157784989087328,1.4691435355642959,2.210921251730949
ATN,4.840118683853516,2.2742834662852447,4.021714866783722,1.7278263268222067,0.8184038170697931,1.7837425539188034
Cascade,5.824591942159296,3.6123453897591906,2.0727101831547086,0.954168365205849,3.7518817590045876,3.7419265192470386
LTM,4.32014186927787,4.142001765127029,3.5865423567897037,1.9593185297273552,0.7335995124881665,4.789873272235196
MaxEnt,5.400067263791314,2.537576953849386,4.249501376500703,4.33258488938214,1.150565887290611,4.1158033768520115
Niche,5.424533480151943,3.2278893443846886,2.707279287634435,1.2274709682310683,2.7172541925175064,3.3410133906510855
Random,4.682176629576664,2.4653797334337293,4.268347721656723,2.3334990394148547,0.4138289079199404,1.9702137367429997
