model,n,mean_angle,sd_angle
ADBM,258,29.056492072463563,18.891520453679654
ATN,272,40.96253528725163,24.95666692520102
Cascade,296,31.016320502673086,22.35016400434053
LTM,171,39.735500258103194,24.364508416210214
MaxEnt,208,45.660628052152695,28.27017667855835
Niche,298,41.609309381198976,27.478823640623297
Random,63,43.44829818253176,29.681030366481277
